schemaVersion,recordType,source_name,source_url,entityName,employeeCount,description,category,collectedAt
1.0,STARTUP,GitHub AI Directory,https://java2ai.com,Spring Ai Alibaba,110,Agentic AI Framework for Java Developers,Open Source AI,2026-08-11T09:00:53.006280Z
1.0,STARTUP,GitHub AI Directory,https://sonnet.dev/,Sonnet,104,TensorFlow-based neural network library,Open Source AI,2026-08-11T09:00:50.137149Z
1.0,STARTUP,GitHub AI Directory,https://cybersecurityrobotics.com/research/cai-bug-bounty-cybersecurity-ai/,Cai,102,"Cybersecurity AI (CAI), the framework for AI Security",Open Source AI,2026-08-11T09:00:50.675993Z
1.0,STARTUP,GitHub AI Directory,https://warriorjs.com,Warriorjs,100,🏰 An exciting game of programming and Artificial Intelligence,Open Source AI,2026-08-11T09:00:50.781745Z
1.0,STARTUP,GitHub AI Directory,https://inference.readthedocs.io,Inference,99,"Swap GPT for any LLM by changing a single line of code. Xinference lets you run open-source, speech, and multimodal models on cloud, on-prem, or your laptop — all through one unified, production-ready inference API.",Open Source AI,2026-08-11T09:00:50.407945Z
1.0,STARTUP,GitHub AI Directory,https://ccfddl.com,Ccf Deadlines,97,"⏰ Agenticly track worldwide conference deadlines (Website, Python Cli, Wechat Applet)",Open Source AI,2026-08-11T09:00:50.159160Z
1.0,STARTUP,GitHub AI Directory,https://www.thataicollection.com/,Ai Collection,96,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,Open Source AI,2026-08-11T09:00:50.878278Z
1.0,STARTUP,GitHub AI Directory,https://www.genxr.co/#products,Imageai,93,A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities,Open Source AI,2026-08-11T09:00:50.416947Z
1.0,STARTUP,GitHub AI Directory,https://www.mage.ai,Mage Ai,92,"🧙 Build, run, and manage data pipelines for integrating and transforming data.",Open Source AI,2026-08-11T09:00:50.334588Z
1.0,STARTUP,GitHub AI Directory,https://caffe2.ai,Caffe2,88,"Caffe2 is a lightweight, modular, and scalable deep learning framework.",Open Source AI,2026-08-11T09:00:51.083132Z
1.0,STARTUP,GitHub AI Directory,https://www.nebuly.com/,Optimate,88,A collection of libraries to optimise AI model performances,Open Source AI,2026-08-11T09:00:50.424945Z
1.0,STARTUP,GitHub AI Directory,https://rig.rs,Rig,87,⚙️🦀 Build modular and scalable LLM Applications in Rust,Open Source AI,2026-08-11T09:00:50.350014Z
1.0,STARTUP,GitHub AI Directory,https://stanfordnlp.github.io/stanza/,Stanza,83,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages",Open Source AI,2026-08-11T09:00:50.154160Z
1.0,STARTUP,GitHub AI Directory,https://short-gpt-dcs.vercel.app,Shortgpt,82,🚀🎬 ShortGPT - Experimental AI framework for youtube shorts / tiktok channel automation,Open Source AI,2026-08-11T09:00:50.350014Z
1.0,STARTUP,GitHub AI Directory,http://tensorlayerx.com,Tensorlayer,78,Deep Learning and Reinforcement Learning Library for Scientists and Engineers ,Open Source AI,2026-08-11T09:00:51.965714Z
1.0,STARTUP,GitHub AI Directory,https://flower.ai,Flower,75,Flower: A Friendly Federated AI Framework,Open Source AI,2026-08-11T09:00:50.507336Z
1.0,STARTUP,GitHub AI Directory,https://docs.swarms.world,Swarms,75,The Enterprise-Grade Multi-Agent Orchestration Framework. Website: https://swarms.ai,Open Source AI,2026-08-11T09:00:51.012939Z
